"Golden Gate","Richmond Bridge","Carquinez Bridge","Benicia Bridge","Decker_IsS","ThreeMile","SR_RioVista","SR_Mouth","SR_SteamboatSl","Georg_SloughN","SR_DCC","SR_BlwSteam","SR_SutterSl","SR_Freeport","UpRiver"
0,4,22,21,14,0,0,0,0,0,0,0,0,0,0
0,0,13.5,50.5,11,0,0,0,0,0,0,0,0,0,0
0,0,0,15,9.83333333333333,0,4.83333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,1,1.33333333333333,9
0,88,7,4,0,0,0,0,0,0,0,0,0,0,0
0,62,2,2,0,0,0,0,0,0,0,0,0,0,0
0,50.5,3,3.5,1,0,0,0,0,0,0,0,0,0,0
0,90,6,5,0,0,0,0,0,0,0,0,0,0,0
0,0,11.5,139.5,2,0,0,0,0,0,0,0,0,0,0
0,0,6,133,21,0,0,0,0,0,0,0,0,0,0
0,0,14.5,29.5,2,0,0,0,0,0,0,0,0,0,0
0,24.5,7.5,9,3.5,0,3.5,0,0.5,0,0.5,0.5,3.5,1,2
0,24,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0
0,0,3,3,1,0,1.5,0.833333333333333,0,0.25,0.583333333333333,0.583333333333333,0,1.25,18
0,0,2,4,10.3333333333333,0,3.33333333333333,0.666666666666667,1,0,0.333333333333333,0.333333333333333,0.5,2.5,12
0,0,1.5,1.5,11.5,0,13.8333333333333,0.333333333333333,2,0,0.833333333333333,0.5,1,2,14
0,0,5,7,0.833333333333333,0,1.03333333333333,0,0.666666666666667,0.2,0.2,0.533333333333333,0,0.533333333333333,36
0,0,0,0,20,0,6.5,0,0,0,2.66666666666667,1.66666666666667,1,1.16666666666667,0
0,0,27,32,5,0,0,0,0,0,0,0,0,0,0
0,0,25.5,29.5,8,0,0,0,0,0,0,0,0,0,0
0,0,2,38,0,0,0,0,0,0,0,0,0,0,0
0,0,5.5,34.5,0,0,0,0,0,0,0,0,0,0,0
0,0,3.5,46.5,0,0,0,0,0,0,0,0,0,0,0
0,0,7.5,91.5,0,0,0,0,0,0,0,0,0,0,0
0,0,2,14,34,0,0,0,0,0,0,0,0,0,0
0,0,0,11,25.3333333333333,0,14.6666666666667,0.333333333333333,3.16666666666667,0,0.333333333333333,0.833333333333333,0,1.33333333333333,13
0,0,0,5,3,0,1,0,2.5,0.333333333333333,0.333333333333333,0.833333333333333,0,2,21
0,0,0,19,6.5,0,1.5,0.333333333333333,5.66666666666667,0,0.333333333333333,0.333333333333333,0,1.33333333333333,11
0,0,0,11,13.5833333333333,0,9.91666666666667,0.75,13.9166666666667,0.833333333333333,0.833333333333333,4.33333333333333,1.83333333333333,0,0
0,0,2.5,12.5,18.3333333333333,0,5.33333333333333,0.75,3.08333333333333,0,0.75,1.08333333333333,0,3.33333333333333,13.3333333333333
0,0,12.5,17,8.33333333333333,0,11.8333333333333,1.33333333333333,1,0,0,0,0,0,0
0,0,17.5,25.5,4,0,0,0,0,0,0,0,0,0,0
0,0,12,16,35,0,0,0,0,0,0,0,0,0,0
0,3,8,11,10,0,0,0,0,0,0,0,0,0,0
0,0,15,12,10,0,0,0,0,0,0,0,0,0,0
0,0,1,1,14.5333333333333,0.5,4.03333333333333,0.2,2.33333333333333,0,0.2,0.2,1,2,14
0,6,15.5,9.5,4,0,0,0,0,0,0,0,0,0,0
0,3,10.5,20.5,14,0,0,0,0,0,0,0,0,0,0
0,0,0,1,44.8333333333333,2.5,3.83333333333333,0.5,0.333333333333333,0,0,0,0,0,0
0,0,2.5,3.5,4.66666666666667,0,4.66666666666667,0.333333333333333,3,0,0.333333333333333,0.666666666666667,0,0.833333333333333,19.5
0,4,8,9,39.1666666666667,0,2.16666666666667,0.333333333333333,0.833333333333333,0,0.333333333333333,0.333333333333333,0.5,1.33333333333333,21
0,8,9,6,32.6666666666667,0,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0
0,0,0,20,16.25,0,12.0833333333333,0.916666666666667,7.75,0,0,0,0,0,0
0.5,98.1666666666667,5.66666666666667,9.66666666666667,0,0,0,0,0,0,0,0,0,0,0
0,110.333333333333,8.33333333333333,20.3333333333333,0,0,0,0,0,0,0,0,0,0,0
